,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
0,EZYV2404,Asia,3,Y,Y,1411,2009,West,75107.37,4,Y,0
1,EZYV6831,North America,2,Y,N,781,2012,West,102403.56,4,Y,0
2,EZYV879,Asia,3,Y,N,958,2005,South,89991.95,4,Y,1
3,EZYV24062,Asia,2,N,N,900,1962,West,128104.61,4,Y,0
4,EZYV2110,Europe,3,N,N,3533,1993,West,12647.14,4,Y,0
5,EZYV21147,Asia,2,N,N,5752,2004,West,91930.57,4,Y,1
6,EZYV6485,Asia,1,Y,N,3481,1979,South,99957.16,4,Y,0
7,EZYV24842,Europe,1,Y,N,2998,2000,South,13358.8,4,Y,0
8,EZYV24943,North America,2,Y,N,3377,1800,Northeast,96158.48,4,N,1
9,EZYV21749,Europe,3,N,N,341,1998,Northeast,28157.58,4,Y,1
10,EZYV411,Asia,2,Y,N,979,1852,Northeast,59533.78,4,Y,1
11,EZYV19341,Asia,2,N,N,4409,1863,Northeast,2192.78,4,Y,0
12,EZYV3900,Asia,1,Y,N,1755,1879,West,11430.98,4,Y,1
13,EZYV17817,Asia,1,Y,N,413,2009,Northeast,292.0788,1,Y,0
14,EZYV9190,Asia,2,Y,N,3151,2000,South,130611.92,4,N,1
15,EZYV9762,Asia,1,Y,N,4655,2013,Northeast,85403.46,4,Y,1
16,EZYV2190,Asia,2,Y,N,2935,2014,Northeast,85458.48,4,N,1
17,EZYV17478,Oceania,1,Y,N,3349,1977,Northeast,95162.71,4,Y,0
18,EZYV23240,Asia,2,N,N,770,2001,Northeast,127763.96,4,Y,1
19,EZYV17172,South America,2,N,N,990,1936,South,122624.42,4,Y,1
20,EZYV21015,North America,2,Y,N,90320,1837,Island,127248.19,4,Y,1
21,EZYV12164,Asia,3,Y,N,2936,2012,Midwest,106274.55,4,Y,0
22,EZYV14079,Asia,2,Y,N,233852,1872,South,97196.37,4,Y,1
